layerID,ComputeKer16,,FirstReadLatency,,FirstWeightOverhead,,IstageLastInputLatency,,IstageNoInputLatency,,IstageNoOutputLatency,,IstageNormalInputLatency,,IstageReadOverhead,,IstageWriteOverhead,,Iternumber,,LoadFeedingBuffer,,LoadKern_Data,,LoadKern_Total,,OStgBuffSeq,,ProcResult,,ProcResultLast,,ProcWeightLast,,ProcWeightLastNkpf,,ProcWeightLastRowStep,,ProcWeightNormal,,ProcWeightOverhead,,ReadInputFirst_Data,,ReadInputFirst_Total,,ReadInputLast_Data,,ReadInputLast_Total,,ReadInputNormal_Data,,ReadInputNormal_Total,,TotalLatency,,WriteOutputLast_Data,,WriteOutputLast_Total,,WriteOutputNormal_Data,,WriteOutputNormal_Total,
0,340.0,,14118.218100189042,,2063.9347826086955,,137348.0,,91848.0,,137348.0,,137348.0,,15432.0,,5392.0,,2,,6500.0,,966.0,,1110.0,,168.0,,848.0,,848.0,,85348.0,,130848.0,,91000.0,,136500.0,,6500.0,,15288.0,,15432.0,,6552.0,,6696.0,,13104.0,,13248.0,,2587436.0,,5152.0,,5392.0,,7728.0,,7968.0,
2,208.0,,10140.0,,755.017793594306,,19044.0,,11832.0,,19443.017793594307,,19044.0,,10116.0,,1528.0,,2,,356.0,,312.0,,456.0,,168.0,,584.0,,584.0,,2336.0,,18688.0,,2336.0,,18688.0,,356.0,,9828.0,,10116.0,,1092.0,,1380.0,,9828.0,,10116.0,,83507.0177935943,,1288.0,,1528.0,,11592.0,,11832.0,
3,720.0,,6780.100840336135,,11784.100840336134,,50748.0,,19332.0,,61152.100840336134,,50748.0,,4124.0,,4584.0,,6,,1380.0,,8424.0,,8568.0,,168.0,,4488.0,,4488.0,,17952.0,,49368.0,,17952.0,,49368.0,,1380.0,,3836.0,,4124.0,,560.0,,848.0,,3276.0,,3564.0,,497676.1008403361,,3864.0,,4584.0,,11592.0,,12312.0,
5,336.0,,0,,1080.0,,0,,22080.0,,0,,0,,23796.0,,9256.0,,2,,732.0,,936.0,,1080.0,,168.0,,840.0,,840.0,,21000.0,,21000.0,,21000.0,,21000.0,,732.0,,22932.0,,23796.0,,0.0,,0.0,,0.0,,0.0,,57632.0,,9016.0,,9256.0,,9016.0,,9256.0,
6,336.0,,4680.000000000002,,2628.9391304347823,,0,,11952.0,,27324.93913043478,,0,,20520.0,,2292.0,,3,,732.0,,1404.0,,1548.0,,168.0,,1176.0,,1176.0,,4704.0,,24696.0,,4704.0,,24696.0,,732.0,,19656.0,,20520.0,,3276.0,,4140.0,,19656.0,,20520.0,,64588.93913043478,,1932.0,,2292.0,,11592.0,,11952.0,
7,336.0,,0,,378.0,,0,,18804.0,,0,,0,,23796.0,,4628.0,,1,,732.0,,234.0,,378.0,,168.0,,504.0,,504.0,,18072.0,,18072.0,,18300.0,,18300.0,,732.0,,22932.0,,23796.0,,0.0,,0.0,,0.0,,0.0,,49728.0,,4508.0,,4628.0,,4508.0,,4628.0,
9,1008.0,,7754.621848739495,,12194.621848739494,,0,,40392.0,,79394.6218487395,,0,,8244.0,,6976.0,,4,,2592.0,,8424.0,,8568.0,,168.0,,4200.0,,4200.0,,37800.0,,67200.0,,37800.0,,67200.0,,2592.0,,7812.0,,8244.0,,3696.0,,4128.0,,7392.0,,7824.0,,137506.6218487395,,6496.0,,6976.0,,11648.0,,12128.0,
10,544.0,,0,,1126.0,,0,,86412.0,,0,,0,,3966.0,,4628.0,,1,,3428.0,,982.0,,1126.0,,168.0,,712.0,,712.0,,82984.0,,82984.0,,85700.0,,85700.0,,3428.0,,3822.0,,3966.0,,0.0,,0.0,,0.0,,0.0,,97506.0,,4508.0,,4628.0,,4508.0,,4628.0,
11,336.0,,0,,612.0,,0,,18804.0,,0,,0,,23796.0,,4628.0,,1,,732.0,,468.0,,612.0,,168.0,,504.0,,504.0,,18072.0,,18072.0,,18300.0,,18300.0,,732.0,,22932.0,,23796.0,,0.0,,0.0,,0.0,,0.0,,49728.0,,4508.0,,4628.0,,4508.0,,4628.0,
12,400.0,,13472.0,,4885.234828496042,,0,,16832.0,,33173.23482849604,,0,,20864.0,,6976.0,,4,,920.0,,2496.0,,2640.0,,168.0,,1768.0,,1768.0,,15912.0,,28288.0,,15912.0,,28288.0,,920.0,,19712.0,,20864.0,,10976.0,,12128.0,,19712.0,,20864.0,,80345.23482849603,,6496.0,,6976.0,,11648.0,,12128.0,
13,400.0,,13472.0,,4885.234828496042,,0,,16832.0,,33173.23482849604,,0,,20864.0,,6976.0,,4,,920.0,,2496.0,,2640.0,,168.0,,1768.0,,1768.0,,15912.0,,28288.0,,15912.0,,28288.0,,920.0,,19712.0,,20864.0,,10976.0,,12128.0,,19712.0,,20864.0,,80345.23482849603,,6496.0,,6976.0,,11648.0,,12128.0,
